device_id,name,name_by_user,name_original,manufacturer,model,sw_version,hw_version,via_device_id,identifiers,config_entries,disabled_by
f0209c33bb1fd7e6b10574e67cfecd7b,Z8 - dining mad man,,Z8 - dining mad man,Hubitat,Generic Component Switch,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:71']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
4d8d6164683e0fe23e4e232d537de130,Z9 - basement bedroom,,Z9 - basement bedroom,Hubitat,Generic Component Switch,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:72']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
d17102bf5f2889c7bdf2a6aff3225d10,Zone456,,Zone456,Hubitat,Shelly Wave PRO 3,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:73']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
00f691918b8c9426cb13e5c8b1d8f405,Z4 - garage,,Z4 - garage,Hubitat,Generic Component Switch,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:74']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
31cc95bdf7a15da1eff4cd3e1768622b,Z5 - first floor living,,Z5 - first floor living,Hubitat,Generic Component Switch,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:75']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
d5f534859f233568d6fc9702fef12398,Z6 -master,,Z6 -master,Hubitat,Generic Component Switch,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:76']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
75962fcb34be23d4719c48e80c7294f6,ZoneV123,,ZoneV123,Hubitat,Shelly Wave PRO 3,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:77']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
de26550160adb768bef1510c48c3bc72,Z2 - Second floor office and upper guest,,Z2 - Second floor office and upper guest,Hubitat,Generic Component Switch,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:79']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
a419c36672df8581b2cdfdfd0cc95b68,Z3 - Basement bath utility common area,,Z3 - Basement bath utility common area,Hubitat,Generic Component Switch,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:80']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
e05dc6670640a84f375bfe878850698c,master better thermostat,,master better thermostat,Better Thermostat,Generic Component Switch,1.7.0,,,"[['better_thermostat', '01KBK9TRKAVQJH08Q741T6S0VN']]",['01KBK9TRKAVQJH08Q741T6S0VN'],config_entry
4476684e035ffae97715808840a8cac9,second floor better thermostat,,second floor better thermostat,Better Thermostat,Generic Component Switch,1.7.0,,,"[['better_thermostat', '01KBKC3SHV6XN856899JZ572HT']]",['01KBKC3SHV6XN856899JZ572HT'],config_entry
1d0289f6de166a093eee8cdfd5d7e1a0,basement zone 7 better thermostat,,basement zone 7 better thermostat,Better Thermostat,Generic Component Switch,1.7.0,,,"[['better_thermostat', '01KBKFKMVAXGZX6RFVGFM28ADS']]",['01KBKFKMVAXGZX6RFVGFM28ADS'],config_entry
55017efddde60c7fc599b686c22f03b8,basement zone 9 bedroom better thermostat,,basement zone 9 bedroom better thermostat,Better Thermostat,Generic Component Switch,1.7.0,,,"[['better_thermostat', '01KBKFXD6ARX4Y8X4H9VZA3KX8']]",['01KBKFXD6ARX4Y8X4H9VZA3KX8'],config_entry
